table,target_coverage,requested_total,minimum_admitted_across_methods,maximum_admitted_across_methods,all_methods_exact,admitted_by_method_json,selection,tie_break,uses_evaluation_labels_for_selection
fusion_no_verifier,0.1,3120,3120,3120,True,"{""cautious_evidence_fusion"":3120,""lineage_unaware_pooling"":3120,""nested_evidential_composition"":3120,""pcecf"":3120,""product_evidence_fusion"":3120,""quality_weighted_fusion"":3120,""registered_lineage_pooling"":3120}",heldout score rank only,record_id ascending,False
fusion_no_verifier,0.11,3433,3433,3433,True,"{""cautious_evidence_fusion"":3433,""lineage_unaware_pooling"":3433,""nested_evidential_composition"":3433,""pcecf"":3433,""product_evidence_fusion"":3433,""quality_weighted_fusion"":3433,""registered_lineage_pooling"":3433}",heldout score rank only,record_id ascending,False
fusion_no_verifier,0.12,3744,3744,3744,True,"{""cautious_evidence_fusion"":3744,""lineage_unaware_pooling"":3744,""nested_evidential_composition"":3744,""pcecf"":3744,""product_evidence_fusion"":3744,""quality_weighted_fusion"":3744,""registered_lineage_pooling"":3744}",heldout score rank only,record_id ascending,False
fusion_no_verifier,0.13,4055,4055,4055,True,"{""cautious_evidence_fusion"":4055,""lineage_unaware_pooling"":4055,""nested_evidential_composition"":4055,""pcecf"":4055,""product_evidence_fusion"":4055,""quality_weighted_fusion"":4055,""registered_lineage_pooling"":4055}",heldout score rank only,record_id ascending,False
fusion_no_verifier,0.14,4368,4368,4368,True,"{""cautious_evidence_fusion"":4368,""lineage_unaware_pooling"":4368,""nested_evidential_composition"":4368,""pcecf"":4368,""product_evidence_fusion"":4368,""quality_weighted_fusion"":4368,""registered_lineage_pooling"":4368}",heldout score rank only,record_id ascending,False
fusion_no_verifier,0.15,4681,4681,4681,True,"{""cautious_evidence_fusion"":4681,""lineage_unaware_pooling"":4681,""nested_evidential_composition"":4681,""pcecf"":4681,""product_evidence_fusion"":4681,""quality_weighted_fusion"":4681,""registered_lineage_pooling"":4681}",heldout score rank only,record_id ascending,False
fusion_no_verifier,0.16,4992,4992,4992,True,"{""cautious_evidence_fusion"":4992,""lineage_unaware_pooling"":4992,""nested_evidential_composition"":4992,""pcecf"":4992,""product_evidence_fusion"":4992,""quality_weighted_fusion"":4992,""registered_lineage_pooling"":4992}",heldout score rank only,record_id ascending,False
fusion_no_verifier,0.17,5305,5305,5305,True,"{""cautious_evidence_fusion"":5305,""lineage_unaware_pooling"":5305,""nested_evidential_composition"":5305,""pcecf"":5305,""product_evidence_fusion"":5305,""quality_weighted_fusion"":5305,""registered_lineage_pooling"":5305}",heldout score rank only,record_id ascending,False
fusion_no_verifier,0.18,5616,5616,5616,True,"{""cautious_evidence_fusion"":5616,""lineage_unaware_pooling"":5616,""nested_evidential_composition"":5616,""pcecf"":5616,""product_evidence_fusion"":5616,""quality_weighted_fusion"":5616,""registered_lineage_pooling"":5616}",heldout score rank only,record_id ascending,False
fusion_no_verifier,0.19,5929,5929,5929,True,"{""cautious_evidence_fusion"":5929,""lineage_unaware_pooling"":5929,""nested_evidential_composition"":5929,""pcecf"":5929,""product_evidence_fusion"":5929,""quality_weighted_fusion"":5929,""registered_lineage_pooling"":5929}",heldout score rank only,record_id ascending,False
fusion_no_verifier,0.2,6240,6240,6240,True,"{""cautious_evidence_fusion"":6240,""lineage_unaware_pooling"":6240,""nested_evidential_composition"":6240,""pcecf"":6240,""product_evidence_fusion"":6240,""quality_weighted_fusion"":6240,""registered_lineage_pooling"":6240}",heldout score rank only,record_id ascending,False
fusion_no_verifier,0.21,6551,6551,6551,True,"{""cautious_evidence_fusion"":6551,""lineage_unaware_pooling"":6551,""nested_evidential_composition"":6551,""pcecf"":6551,""product_evidence_fusion"":6551,""quality_weighted_fusion"":6551,""registered_lineage_pooling"":6551}",heldout score rank only,record_id ascending,False
fusion_no_verifier,0.22,6864,6864,6864,True,"{""cautious_evidence_fusion"":6864,""lineage_unaware_pooling"":6864,""nested_evidential_composition"":6864,""pcecf"":6864,""product_evidence_fusion"":6864,""quality_weighted_fusion"":6864,""registered_lineage_pooling"":6864}",heldout score rank only,record_id ascending,False
fusion_no_verifier,0.23,7177,7177,7177,True,"{""cautious_evidence_fusion"":7177,""lineage_unaware_pooling"":7177,""nested_evidential_composition"":7177,""pcecf"":7177,""product_evidence_fusion"":7177,""quality_weighted_fusion"":7177,""registered_lineage_pooling"":7177}",heldout score rank only,record_id ascending,False
fusion_no_verifier,0.24,7488,7488,7488,True,"{""cautious_evidence_fusion"":7488,""lineage_unaware_pooling"":7488,""nested_evidential_composition"":7488,""pcecf"":7488,""product_evidence_fusion"":7488,""quality_weighted_fusion"":7488,""registered_lineage_pooling"":7488}",heldout score rank only,record_id ascending,False
fusion_no_verifier,0.25,7799,7799,7799,True,"{""cautious_evidence_fusion"":7799,""lineage_unaware_pooling"":7799,""nested_evidential_composition"":7799,""pcecf"":7799,""product_evidence_fusion"":7799,""quality_weighted_fusion"":7799,""registered_lineage_pooling"":7799}",heldout score rank only,record_id ascending,False
fusion_no_verifier,0.26,8112,8112,8112,True,"{""cautious_evidence_fusion"":8112,""lineage_unaware_pooling"":8112,""nested_evidential_composition"":8112,""pcecf"":8112,""product_evidence_fusion"":8112,""quality_weighted_fusion"":8112,""registered_lineage_pooling"":8112}",heldout score rank only,record_id ascending,False
fusion_no_verifier,0.27,8425,8425,8425,True,"{""cautious_evidence_fusion"":8425,""lineage_unaware_pooling"":8425,""nested_evidential_composition"":8425,""pcecf"":8425,""product_evidence_fusion"":8425,""quality_weighted_fusion"":8425,""registered_lineage_pooling"":8425}",heldout score rank only,record_id ascending,False
