id,event_id,episode_id,sid,task,window,condition,query_target_sid,candidate_admit,verified_admit,verified_decision,decision_reason,phase_probability,reference_admit
habit_cf_0001,004948_01,004948,S6759,Power Cable,early,factual,S6759,False,False,hold_confirm,target_not_visually_supported,0.0,False
habit_cf_0002,004948_01,004948,S6759,Power Cable,early,counterfactual,S7414,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0003,004948_01,004948,S6759,Power Cable,ready,factual,S6759,False,False,hold_confirm,candidate_not_ready,1.0,True
habit_cf_0004,004948_01,004948,S6759,Power Cable,ready,counterfactual,S7414,True,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0005,004949_01,004949,S6759,Power Cable,early,factual,S6759,True,False,hold_confirm,temporal_evidence_not_ready,0.0,False
habit_cf_0006,004949_01,004949,S6759,Power Cable,early,counterfactual,S7414,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0007,004949_01,004949,S6759,Power Cable,ready,factual,S6759,True,True,release,supported_release,1.0,True
habit_cf_0008,004949_01,004949,S6759,Power Cable,ready,counterfactual,S7414,True,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0009,004951_01,004951,S6759,Power Cable,early,factual,S6759,False,False,hold_confirm,target_not_visually_supported,0.0,False
habit_cf_0010,004951_01,004951,S6759,Power Cable,early,counterfactual,S7414,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0011,004951_01,004951,S6759,Power Cable,ready,factual,S6759,True,True,release,supported_release,1.0,True
habit_cf_0012,004951_01,004951,S6759,Power Cable,ready,counterfactual,S7414,True,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0013,004952_01,004952,S6759,Power Cable,early,factual,S6759,False,False,hold_confirm,candidate_not_ready,0.0,False
habit_cf_0014,004952_01,004952,S6759,Power Cable,early,counterfactual,S7414,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0015,004952_01,004952,S6759,Power Cable,ready,factual,S6759,False,False,hold_confirm,candidate_not_ready,1.0,True
habit_cf_0016,004952_01,004952,S6759,Power Cable,ready,counterfactual,S7414,True,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0017,004953_01,004953,S6759,Power Cable,early,factual,S6759,False,False,hold_confirm,target_not_visually_supported,0.0,False
habit_cf_0018,004953_01,004953,S6759,Power Cable,early,counterfactual,S7414,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0019,004953_01,004953,S6759,Power Cable,ready,factual,S6759,False,False,hold_confirm,candidate_not_ready,1.0,True
habit_cf_0020,004953_01,004953,S6759,Power Cable,ready,counterfactual,S7414,False,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0021,004954_01,004954,S6759,Power Cable,early,factual,S6759,False,False,hold_confirm,target_not_visually_supported,0.0,False
habit_cf_0022,004954_01,004954,S6759,Power Cable,early,counterfactual,S7414,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0023,004954_01,004954,S6759,Power Cable,ready,factual,S6759,False,False,hold_confirm,target_not_visually_supported,1.0,True
habit_cf_0024,004954_01,004954,S6759,Power Cable,ready,counterfactual,S7414,False,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0025,004956_01,004956,S6759,Power Cable,early,factual,S6759,False,False,hold_confirm,target_not_visually_supported,0.0,False
habit_cf_0026,004956_01,004956,S6759,Power Cable,early,counterfactual,S7414,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0027,004956_01,004956,S6759,Power Cable,ready,factual,S6759,False,False,hold_confirm,target_not_visually_supported,1.0,True
habit_cf_0028,004956_01,004956,S6759,Power Cable,ready,counterfactual,S7414,True,False,hold_confirm,target_state_mismatch,1.0,False
habit_cf_0029,004957_01,004957,S6759,Power Cable,early,factual,S6759,False,False,hold_confirm,target_not_visually_supported,0.0,False
habit_cf_0030,004957_01,004957,S6759,Power Cable,early,counterfactual,S7414,False,False,hold_confirm,target_state_mismatch,0.0,False
habit_cf_0031,004957_01,004957,S6759,Power Cable,ready,factual,S6759,True,True,release,supported_release,1.0,True
habit_cf_0032,004957_01,004957,S6759,Power Cable,ready,counterfactual,S7414,True,False,hold_confirm,target_state_mismatch,1.0,False
