claim_id,manuscript_location,claim_summary,reported_values,artifact_path,artifact_locator,artifact_sha256,expected_artifact_tokens,analysis_script,script_sha256,denominator,statistical_unit,claim_boundary
C01,"Abstract; Secs. 4.2, 4.3, and 4.8","The controlled study contains 31,200 records nested within 48 scene units and uses 2,000 paired scene bootstraps.","31,200 records; 48 scenes; 2,000 bootstraps",results/p0_estimand_closure/v1/CONTROLLED_GATE.json,denominator; paired_bootstrap,928f2a9ed32707fb7f4550a91baee9c25f2b9eb98d1583ee877c2dc827efef19,"""records"": 31200|""scenes"": 48|""replicates"": 2000|""unit"": ""scene""",analysis/run_p0_estimand_closure.py,224a0ab0ac9c90666d4fa10f6cf76f4699e012cae136ced32ef8f6d86be326bf,"31,200 records; 48 scenes",scene,Controlled deterministic records; not independent real-world observations.
C02,Abstract; Sec. 5.2.2; Table 6A,"Under common admission, complete PACT has lower ncsAURC than nested Dirichlet composition.","PACT 0.0861; nested 0.1479; support [0.10,0.39]",results/reference/pcecf_shared_verifier.csv,rows method=pcecf and method=nested_evidential_composition,e56b06020190abc305fe349bb4c4bcbf3e64b35fb1f705c32f54859304c90009,pcecf|0.08612194505919865|nested_evidential_composition|0.14792638555478727,experiments/pcecf_study.py,8a403c4be7f870d38d17ce6d6a3c516e0271b274cd85c90a29e779188e822ad6,"31,200 records; 48 scenes",scene,Method-native scores under one frozen benchmark and common admission protocol.
C03,Sec. 5.2.2; Table 6B,The matched 2x2 separates fusion partitioning from the corroboration requirement.,fusion -0.0244/-0.0661; corroboration -0.2613/-0.3030; interaction -0.0417,results/minimal_attribution_2x2/ncsaurc_factorial_effects.csv,all_records rows on primary_0.10_0.39,02a13452c0094b2eaa3ad589b2ae08b76a379e22a66c7d6b8be6ba6395048447,fusion_effect_at_V0|-0.024407655410233764|fusion_effect_at_V1|-0.06606198524062892|verifier_effect_at_F0|-0.2613446601148578|verifier_effect_at_F1|-0.302998989945253|difference_in_differences|-0.04165432983039516,analysis/minimal_attribution_2x2.py,4cf99d65cb770831250ada412a583905f7fd9f57e3c78e34c81dcf0b3050d534,"31,200 matched records",scene,"Matched mechanistic contrasts, not causal effects."
C04,Sec. 5.1,The coordinatewise meet avoids same-component insertion amplification unlike the coordinatewise join.,"join insertion increase 96.4% on 24,000 complete multi-member records; across 31,200 records, budget +35.4%, selected-class change 16.2%, and ncsAURC 0.7918 vs 0.6294",results/operator_characterization/paired_contrast.csv,row contrast=pact_join_minus_pact_meet,6571380a33f082ad05d4c28c2e389e8cda1bdf69f3f4b6a854840a8601e16a8a,0.16231640262909508|0.1535016355202933|0.1709257453558878|1.3539437799766696|0.16230769230769232,results/operator_characterization/run.py,8fa22d6c864aafb330a3b70aa81a0a4cb0b4a39f8ad643b30b1c05c839067db0,"31,200 records; 24,000 complete multi-member-component records for insertion checks",scene,Operator characterization under the controlled evidence interface.
C05,Abstract; Sec. 5.1; Fig. 3,False separation amplifies the selective-risk gap with same-source multiplicity while registered copies remain invariant.,gap 0.0243 at m=1; 0.3676 at m=8; 0.4338 at m=32,results/topology_multiplicity/matched_contrast.csv,"primary_0.10_0.39 rows at multiplicity 1, 8, and 32",a81a4bc36e759b487e09669bb616488e9e418b592526bee1fa811468cbd60da7,0.02434742656354877|0.3676|0.4337567003573904|primary_0.10_0.39,results/topology_multiplicity/run.py,450bb93186fab1a77de0b68ee11c0a0a1be1cb891d3e5c2cabd084aeb94d7f77,"31,200 records at each multiplicity",scene,"Prespecified multiplicity stress response, not a general scaling law."
C06,Sec. 5.1,"Equal-cardinality partitions show that grouping composition, not component count alone, changes selective ordering.",+0.1988 and +0.2013 ncsAURC relative to the declared partition,results/equal_cardinality_topology/paired_contrasts.csv,wrong_LG_R_minus_registered_L_GR and wrong_LR_G_minus_registered_L_GR,2543b93f1dfe1a5e9a4daf2411ce0de0bd2ffffac8920c352e462bf17d4732f6,0.19880837906032967|0.18614431441663812|0.21070259358283858|0.20127650787455498|0.18459475961316119|0.21876793909713893,results/equal_cardinality_topology/run.py,18bf5c1a3480ddbd35d5da9fc9427ec821c1d34c74de010f2bfaa38defb828b9,"31,200 fixed opinion records",scene,Does not authenticate ancestry or identify a general causal provenance effect.
C07,Sec. 5.2.1,The native product-minus-PACT gap decomposes into candidate-reference and excess-above-reference terms.,total 0.1340; reference 0.0725 (54.1%); excess 0.0615 (45.9%),results/equal_cardinality_topology/candidate_score_gap_decomposition.json,top-level decomposition fields,65a19eea0efbf3e6c335a523bd7379ae72fc16b02c1b7bef0e40782fec4bc7db,0.13404528993670606|0.07250000000000001|0.06154528993670605|0.5408619731005341|0.45913802689946587,analysis/candidate_score_gap_decomposition.py,b3722ac50f0440b6b390a137db004ba286fe22e4277c1555d5758b05b9e3d201,"28,800 records eligible to all four candidate rules",scene,Exact algebraic decomposition; not causal mediation.
C08,Sec. 5.1,"PACT degrades gradually under provenance-assignment corruption, with forged independence remaining unobservable at the interface.",at 50%: false split/forgery 0.0492; merge/recovered edge 0.0106; no-provenance 0.0875; relative reduction 43.8%,results/provenance_corruption_sensitivity/risk_coverage_by_corruption.csv,rate=0.5 rows for four conditions,1ea0dd19cdfbc564fdbf6399e90eb0422eebc375d9bf8eec125e413e026c3e7b,"false_split,0.5|false_merge,0.5|hidden_edge_deletion,0.5|forged_independence,0.5|0.04916666666666667|0.010608974358974359",results/provenance_corruption_sensitivity/run.py,d6b59aba9b6b951c17c7a1fcc361343ab414f91c52b57f9be27f1cf05f6606fe,"31,200 records; 48 scenes; 10 perturbation seeds",scene with perturbation-seed resampling,"Damage sensitivity, not provenance-error detection or authentication."
C09,Sec. 6.1; Table 7A,Aggregate joint scene-configuration holdout compares five structured methods under one shared protocol.,PACT 0.0617; nested 0.1168; hierarchy-matched cautious 0.1775; product 0.2247; registered pooling 0.2828; PACT-minus-nested -0.0551,results/joint_scene_configuration_holdout/joint_summary.csv,all five structured-method rows,b416a51ef3784fa0d4e26388d5765ebe25f0bb68b5bd1f97198f26fc52115b72,"pcecf,0.06167018875012453|nested_evidential_composition,0.11679503171384445|hierarchical_cautious_cumulative,0.17748601314765505|product_evidence_fusion,0.22471087012692578|registered_lineage_pooling,0.2827570471903084|4800,0,4800",analysis/joint_scene_configuration_holdout.py,868bcbb84510c252d4b1330601634299ba06de8448d49007d98b02374e0fccda,"13 held conditions nested in five scene folds; 31,200 records",scene,"Controlled leave-one-condition transfer, not open-world degradation generalization."
C10,Sec. 6.1; Table 7C,Condition-wise joint-holdout contrasts reverse sign across degradation mechanisms.,-0.4108; -0.0554; +0.0252; +0.1160,results/joint_scene_configuration_holdout/conditionwise_summary.csv,four rows with eligible=True,3502dbe7f1ad661d4786fc9577eb78d3eaee538925ee806d892ede22630793f8,-0.4108480784179027|-0.05542759734124041|0.025204829735051004|0.11600323297635884,analysis/joint_scene_configuration_holdout.py,868bcbb84510c252d4b1330601634299ba06de8448d49007d98b02374e0fccda,four conditions whose scene curves span fixed support,scene,"Nine unsupported fixed-interval condition contrasts are retained as ineligible, not extrapolated."
