method,alternative_policy,current_pass,alternative_pass,candidate_correct,records
product_evidence_fusion,B_multi_source_three_component,False,False,False,15016
product_evidence_fusion,B_multi_source_three_component,False,False,True,1453
product_evidence_fusion,B_multi_source_three_component,True,False,True,18
product_evidence_fusion,B_multi_source_three_component,True,True,False,6761
product_evidence_fusion,B_multi_source_three_component,True,True,True,7952
product_evidence_fusion,C_required_role_two_component,False,False,False,12616
product_evidence_fusion,C_required_role_two_component,False,False,True,1453
product_evidence_fusion,C_required_role_two_component,False,True,False,2400
product_evidence_fusion,C_required_role_two_component,True,True,False,6761
product_evidence_fusion,C_required_role_two_component,True,True,True,7970
nested_evidential_composition,B_multi_source_three_component,False,False,False,15029
nested_evidential_composition,B_multi_source_three_component,False,False,True,1440
nested_evidential_composition,B_multi_source_three_component,True,False,True,18
nested_evidential_composition,B_multi_source_three_component,True,True,False,6776
nested_evidential_composition,B_multi_source_three_component,True,True,True,7937
nested_evidential_composition,C_required_role_two_component,False,False,False,12629
nested_evidential_composition,C_required_role_two_component,False,False,True,1440
nested_evidential_composition,C_required_role_two_component,False,True,False,2400
nested_evidential_composition,C_required_role_two_component,True,True,False,6776
nested_evidential_composition,C_required_role_two_component,True,True,True,7955
cautious_evidence_fusion,B_multi_source_three_component,False,False,False,15024
cautious_evidence_fusion,B_multi_source_three_component,False,False,True,1445
cautious_evidence_fusion,B_multi_source_three_component,True,False,True,18
cautious_evidence_fusion,B_multi_source_three_component,True,True,False,7482
cautious_evidence_fusion,B_multi_source_three_component,True,True,True,7231
cautious_evidence_fusion,C_required_role_two_component,False,False,False,12624
cautious_evidence_fusion,C_required_role_two_component,False,False,True,1445
cautious_evidence_fusion,C_required_role_two_component,False,True,False,2400
cautious_evidence_fusion,C_required_role_two_component,True,True,False,7482
cautious_evidence_fusion,C_required_role_two_component,True,True,True,7249
pcecf,B_multi_source_three_component,False,False,False,15028
pcecf,B_multi_source_three_component,False,False,True,1441
pcecf,B_multi_source_three_component,True,False,True,18
pcecf,B_multi_source_three_component,True,True,False,4661
pcecf,B_multi_source_three_component,True,True,True,10052
pcecf,C_required_role_two_component,False,False,False,12628
pcecf,C_required_role_two_component,False,False,True,1441
pcecf,C_required_role_two_component,False,True,False,2400
pcecf,C_required_role_two_component,True,True,False,4661
pcecf,C_required_role_two_component,True,True,True,10070
